Year,Month,Month_Name,Temperature_K,Temperature_C,Pressure_Pa,Specific_Humidity,Relative_Humidity,Temperature_StdDev,Pressure_StdDev,Specific_Humidity_StdDev
2015,1,January,289.39,16.24,96900.35,0.0061,51.55,1.66,1579.72,0.0004
2015,2,February,295.12,21.97,96660.11,0.006,35.18,1.41,1533.81,0.0004
2015,3,March,298.35,25.2,96609.7,0.007,33.94,1.28,1520.31,0.0005
2015,4,April,304.21,31.06,96098.34,0.0072,24.59,1.33,1479.22,0.0006
2015,5,May,308.97,35.82,95767.75,0.007,18.49,1.63,1441.3,0.0012
2015,6,June,305.92,32.77,95474.91,0.0139,43.2,2.3,1439.06,0.0014
2015,7,July,301.44,28.29,95507.86,0.0172,68.51,2.05,1446.04,0.0005
2015,8,August,300.43,27.28,95748.38,0.0178,75.12,2.13,1466.36,0.0005
2015,9,September,300.73,27.58,96019.23,0.0145,60.53,1.94,1473.3,0.0009
2015,10,October,299.84,26.69,96468.62,0.0094,41.92,1.66,1496.16,0.0009
2015,11,November,296.95,23.8,96647.45,0.0081,42.63,1.43,1516.95,0.0008
2015,12,December,291.96,18.81,96851.52,0.0053,38.08,1.47,1557.47,0.0008
2016,1,January,291.83,18.68,96807.07,0.0057,41.35,1.55,1553.75,0.0003
2016,2,February,295.99,22.84,96683.84,0.0056,31.38,1.46,1543.33,0.0008
2016,3,March,301.37,28.22,96432.32,0.0061,24.92,1.3,1501.15,0.0008
2016,4,April,306.64,33.49,95990.12,0.0054,16.04,1.19,1457.86,0.0007
2016,5,May,308.54,35.39,95680.87,0.0087,23.34,1.55,1439.94,0.001
2016,6,June,307.09,33.94,95513.28,0.0141,40.71,1.96,1446.19,0.0007
2016,7,July,300.81,27.66,95479.8,0.0188,77.36,2.03,1457.09,0.0005
2016,8,August,298.95,25.8,95545.24,0.0186,85.43,1.69,1468.46,0.0006
2016,9,September,299.74,26.59,95893.28,0.0176,77.33,1.56,1490.89,0.0008
2016,10,October,297.84,24.69,96274.73,0.0112,55.91,1.7,1494.67,0.0007
2016,11,November,293.89,20.74,96682.88,0.0055,35.13,1.45,1524.48,0.0006
2016,12,December,290.93,17.78,96789.28,0.0052,40.11,1.71,1553.98,0.0003
2017,1,January,290.84,17.69,96833.28,0.0059,45.72,1.53,1567.76,0.0002
2017,2,February,294.84,21.69,96739.14,0.0052,30.98,1.62,1538.13,0.0003
2017,3,March,299.49,26.34,96311.18,0.0046,20.85,1.32,1508.35,0.0003
2017,4,April,305.48,32.33,95977.21,0.0045,14.41,1.23,1460.49,0.0006
2017,5,May,308.46,35.31,95757.47,0.0077,20.69,1.45,1445.99,0.0008
