Year,Month,Month_Name,Mean_Daily_Precipitation_mm,Total_Monthly_Precipitation_mm,Max_Daily_Precipitation_mm,Min_Daily_Precipitation_mm,StdDev_Precipitation_mm
2015,1,January,3.59,21.52,5.78,2.77,1.06
2015,2,February,1.68,10.05,4.6,0.72,1.41
2015,3,March,4.53,27.2,11.08,1.16,3.65
2015,4,April,0.88,5.25,2.22,0.45,0.63
2015,5,May,0.93,5.58,3.5,0.08,1.21
2015,6,June,22.57,135.42,53.22,3.28,18.94
2015,7,July,54.7,328.17,119.99,5.71,42.33
2015,8,August,46.73,280.38,91.72,3.67,30.73
2015,9,September,16.31,97.83,49.06,2.1,17.58
2015,10,October,2.9,17.41,9.12,1.35,2.81
2015,11,November,0.97,5.85,2.55,0.54,0.73
2015,12,December,0.68,4.07,0.92,0.58,0.12
2016,1,January,1.88,11.28,2.9,1.46,0.49
2016,2,February,1.56,9.33,3.15,0.76,0.88
2016,3,March,2.0,12.01,4.62,0.7,1.46
2016,4,April,0.42,2.54,0.75,0.29,0.17
2016,5,May,1.77,10.6,6.53,0.17,2.26
2016,6,June,20.96,125.76,48.67,3.61,17.67
2016,7,July,96.72,580.34,205.8,28.24,58.01
2016,8,August,73.63,441.78,130.42,20.82,38.62
2016,9,September,26.4,158.38,63.82,5.09,20.77
2016,10,October,6.9,41.43,24.29,1.62,8.48
2016,11,November,0.64,3.81,0.88,0.51,0.13
2016,12,December,0.64,3.84,0.86,0.55,0.11
2017,1,January,1.67,10.04,2.32,1.35,0.33
2017,2,February,0.93,5.6,1.58,0.47,0.34
2017,3,March,0.93,5.56,1.19,0.73,0.16
2017,4,April,0.4,2.37,0.61,0.3,0.11
2017,5,May,1.49,8.92,7.43,0.06,2.67
2017,6,June,22.97,137.81,63.54,3.19,21.08
2017,7,July,56.26,337.58,111.6,17.92,33.41
2017,8,August,37.6,225.62,89.9,5.65,29.94
2017,9,September,30.52,183.12,77.2,2.43,27.36
2017,10,October,2.98,17.87,8.73,1.03,2.78
2017,11,November,0.74,4.42,1.0,0.59,0.14
2017,12,December,0.89,5.33,1.64,0.54,0.42
2018,1,January,1.6,9.58,1.78,1.39,0.14
2018,2,February,2.52,15.1,7.72,0.48,2.57
2018,3,March,0.83,4.99,1.11,0.69,0.15
2018,4,April,0.79,4.76,1.72,0.4,0.47
2018,5,May,1.16,6.97,3.94,0.09,1.43
2018,6,June,21.63,129.79,50.83,4.29,17.11
2018,7,July,69.84,419.04,124.35,16.9,38.61
2018,8,August,55.23,331.39,105.55,20.65,29.05
2018,9,September,23.7,142.18,79.21,2.97,28.67
2018,10,October,1.53,9.16,2.98,0.97,0.71
2018,11,November,0.78,4.68,1.71,0.5,0.43
2018,12,December,0.86,5.16,1.44,0.65,0.28
2019,1,January,2.4,14.41,4.0,1.74,0.81
2019,2,February,1.74,10.44,4.21,0.6,1.24
2019,3,March,1.28,7.7,2.95,0.69,0.79
2019,4,April,1.09,6.53,2.03,0.52,0.56
2019,5,May,0.93,5.59,3.16,0.07,1.12
2019,6,June,16.0,95.98,50.64,2.87,17.24
2019,7,July,63.23,379.39,139.79,9.0,46.65
2019,8,August,81.49,488.97,138.46,33.92,35.68
2019,9,September,78.12,468.72,135.05,41.7,31.94
2019,10,October,5.54,33.25,18.18,1.56,5.98
2019,11,November,1.21,7.25,3.01,0.59,0.87
2019,12,December,1.32,7.9,2.86,0.76,0.78
2020,1,January,3.39,20.33,7.49,1.82,1.99
2020,2,February,1.6,9.57,3.7,0.74,1.03
2020,3,March,3.35,20.11,7.61,1.57,2.23
2020,4,April,0.89,5.34,1.41,0.55,0.31
2020,5,May,1.53,9.18,6.37,0.1,2.24
2020,6,June,33.28,199.68,63.04,7.4,19.36
2020,7,July,39.07,234.42,61.62,20.08,14.14
2020,8,August,74.63,447.75,144.48,30.26,39.53
2020,9,September,34.98,209.88,76.19,6.59,24.43
2020,10,October,4.65,27.9,12.45,1.33,4.17
2020,11,November,1.0,6.0,1.9,0.66,0.44
2020,12,December,1.01,6.04,1.32,0.84,0.17
