Year,Mean_Daily_Rainfall_mm,Total_Annual_Rainfall_mm,Max_Daily_Rainfall_mm,Min_Daily_Rainfall_mm,Rainy_Days,Days_In_Year,Monthly_Average_mm
2015,2.46,896.64,52.6,0,62,365,74.72
2016,2.71,993.0,55.57,0,60,366,82.75
2017,1.6,582.36,36.8,0,48,365,48.53
2018,1.77,647.45,34.83,0,58,365,53.95
2019,3.25,1184.84,61.22,0,78,365,98.74
2020,2.3,842.04,61.66,0,62,366,70.17
2021,1.94,709.35,48.45,0,65,365,59.11
2022,2.9,1059.34,61.45,0,76,365,88.28
2023,2.31,844.33,58.6,0,65,365,70.36
2024,2.73,998.5,212.87,0,65,366,83.21
