Year,Month,Month_Name,Mean_Daily_Rainfall_mm,Total_Monthly_Rainfall_mm,Max_Daily_Rainfall_mm,Min_Daily_Rainfall_mm,Rainy_Days,Days_In_Month
2015,1,January,0.85,26.35,5.13,0.0,4,31
2015,2,February,0.29,8.0,1.79,0.0,0,28
2015,3,March,1.99,61.73,18.08,0.0,6,31
2015,4,April,0.26,7.93,2.25,0.0,0,30
2015,5,May,0.35,10.89,4.8,0.0,1,31
2015,6,June,3.38,101.47,23.74,0.02,9,30
2015,7,July,12.82,397.46,52.6,0.05,19,31
2015,8,August,7.39,229.07,48.1,0.01,16,31
2015,9,September,1.05,31.64,11.18,0.0,4,30
2015,10,October,0.61,19.03,11.01,0.0,3,31
2015,11,November,0.09,2.78,0.72,0.0,0,30
2015,12,December,0.01,0.29,0.12,0.0,0,31
2016,1,January,0.55,16.99,9.92,0.0,2,31
2016,2,February,0.04,1.14,0.3,0.0,0,29
2016,3,March,0.28,8.55,2.89,0.0,1,31
2016,4,April,0.03,0.99,0.16,0.0,0,30
2016,5,May,0.17,5.16,0.82,0.0,0,31
2016,6,June,2.45,73.54,19.83,0.0,6,30
2016,7,July,13.66,423.48,55.57,0.28,24,31
2016,8,August,13.55,420.08,54.09,0.03,24,31
2016,9,September,1.24,37.18,7.04,0.03,3,30
2016,10,October,0.15,4.53,1.92,0.0,0,31
2016,11,November,0.04,1.31,0.54,0.0,0,30
2016,12,December,0.0,0.04,0.04,0.0,0,31
2017,1,January,0.16,4.93,3.66,0.0,1,31
2017,2,February,0.1,2.68,2.31,0.0,0,28
2017,3,March,0.06,1.82,1.2,0.0,0,31
2017,4,April,0.0,0.08,0.02,0.0,0,30
2017,5,May,0.26,7.96,1.96,0.0,0,31
2017,6,June,2.33,69.99,11.16,0.0,8,30
2017,7,July,9.84,305.09,36.8,0.15,20,31
2017,8,August,2.98,92.41,12.39,0.0,13,31
2017,9,September,3.07,92.0,26.37,0.0,6,30
2017,10,October,0.1,3.1,0.87,0.0,0,31
2017,11,November,0.01,0.33,0.14,0.0,0,30
2017,12,December,0.06,1.97,1.13,0.0,0,31
2018,1,January,0.01,0.22,0.07,0.0,0,31
2018,2,February,0.3,8.42,4.06,0.0,1,28
2018,3,March,0.1,2.97,1.09,0.0,0,31
2018,4,April,0.15,4.64,2.2,0.0,0,30
2018,5,May,0.15,4.66,3.2,0.0,1,31
2018,6,June,1.75,52.39,9.66,0.0,7,30
2018,7,July,7.54,233.77,28.58,0.03,20,31
2018,8,August,6.45,200.03,32.04,0.12,21,31
2018,9,September,4.57,137.25,34.83,0.0,8,30
2018,10,October,0.04,1.27,0.36,0.0,0,31
2018,11,November,0.0,0.14,0.03,0.0,0,30
2018,12,December,0.05,1.7,0.72,0.0,0,31
