Year,Month,Month_Name,Mean_Wind_Speed_ms,Max_Wind_Speed_ms,Min_Wind_Speed_ms,Prevailing_Wind_Direction_deg,High_Wind_Days,Days_In_Month
2015,1,January,1.2,2.53,0.01,45,0,31
2015,2,February,1.21,1.89,0.39,45,0,28
2015,3,March,1.01,2.25,0.44,90,0,31
2015,4,April,1.26,2.96,0.41,225,0,30
2015,5,May,1.86,3.93,0.16,225,0,31
2015,6,June,2.03,4.36,0.52,225,0,30
2015,7,July,2.87,4.38,0.24,225,0,31
2015,8,August,2.06,3.11,0.46,225,0,31
2015,9,September,1.67,3.2,0.33,225,0,30
2015,10,October,0.82,1.92,0.03,45,0,31
2015,11,November,0.99,2.08,0.03,45,0,30
2015,12,December,1.23,1.98,0.38,0,0,31
2016,1,January,1.02,1.64,0.26,90,0,31
2016,2,February,1.42,2.24,0.3,45,0,29
2016,3,March,1.02,1.83,0.37,90,0,31
2016,4,April,1.69,3.62,0.53,270,0,30
2016,5,May,2.11,4.07,1.09,225,0,31
2016,6,June,1.83,3.79,0.4,225,0,30
2016,7,July,2.37,3.84,0.65,225,0,31
2016,8,August,2.12,3.62,0.62,225,0,31
2016,9,September,1.6,3.18,0.24,270,0,30
2016,10,October,1.22,2.11,0.13,225,0,31
2016,11,November,0.81,1.55,0.3,270,0,30
2016,12,December,0.94,1.96,0.4,45,0,31
2017,1,January,1.26,2.03,0.38,0,0,31
2017,2,February,1.33,2.58,0.09,0,0,28
2017,3,March,0.99,1.84,0.24,0,0,31
2017,4,April,1.83,3.32,0.16,225,0,30
2017,5,May,1.56,3.09,0.46,225,0,31
2017,6,June,2.18,3.65,0.72,225,0,30
2017,7,July,2.67,4.14,0.6,225,0,31
2017,8,August,2.27,4.07,0.8,225,0,31
2017,9,September,1.22,2.71,0.32,270,0,30
2017,10,October,1.04,1.82,0.49,45,0,31
2017,11,November,1.15,1.76,0.31,45,0,30
2017,12,December,1.31,1.95,0.61,0,0,31
2018,1,January,0.94,1.86,0.26,45,0,31
2018,2,February,0.99,1.77,0.11,45,0,28
2018,3,March,1.1,1.92,0.29,270,0,31
2018,4,April,1.07,2.1,0.32,225,0,30
2018,5,May,1.21,2.63,0.16,225,0,31
2018,6,June,2.5,4.96,0.74,225,0,30
2018,7,July,2.57,4.03,0.43,225,0,31
2018,8,August,2.6,4.15,0.94,225,0,31
2018,9,September,2.09,3.32,0.62,225,0,30
2018,10,October,0.91,2.03,0.14,225,0,31
2018,11,November,1.02,1.65,0.31,90,0,30
2018,12,December,1.2,2.13,0.26,45,0,31
2019,1,January,1.28,2.1,0.39,0,0,31
2019,2,February,1.33,2.1,0.14,0,0,28
2019,3,March,1.26,2.42,0.32,0,0,31
2019,4,April,0.91,1.86,0.15,270,0,30
2019,5,May,1.78,3.58,0.62,270,0,31
2019,6,June,1.99,3.3,0.46,225,0,30
2019,7,July,2.5,4.36,0.17,225,0,31
